date,type,title,owner,content
2026-07-18,Meeting Note,Launch Green Culture Program,CEO,Rủi ro nghỉ việc ở vị trí trọng yếu cần theo dõi.
2025-06-14,Lesson Learned,Process Mining bottleneck,COO,Dashboard phải gắn với nhịp họp điều hành.
2025-05-16,Risk,Launch Green Culture Program,CFO,Cần đào tạo quản lý trung gian trước khi triển khai.
2025-06-15,Action,Dashboard adoption issue,CEO,Cần đào tạo quản lý trung gian trước khi triển khai.
2025-08-28,Policy Draft,Leadership pipeline review,HRD,Cần đào tạo quản lý trung gian trước khi triển khai.
2026-04-28,Risk,Leadership pipeline review,COO,Cần chuẩn hóa dữ liệu trước khi dùng AI.
2025-06-28,Lesson Learned,Launch Green Culture Program,CTO,Decision Center cần tập trung vào 5 quyết định có ROI cao nhất.
2025-02-11,Meeting Note,Launch Green Culture Program,HRD,Cần chuẩn hóa dữ liệu trước khi dùng AI.
2026-07-18,Policy Draft,Decision Center pilot,HRD,Cần chuẩn hóa dữ liệu trước khi dùng AI.
2025-02-08,Action,Launch Green Culture Program,CFO,Rủi ro nghỉ việc ở vị trí trọng yếu cần theo dõi.
2026-09-17,Action,Key person risk in IT,CTO,Cần đào tạo quản lý trung gian trước khi triển khai.
2025-03-21,Policy Draft,Process Mining bottleneck,CEO,Cần chuẩn hóa dữ liệu trước khi dùng AI.
2025-04-30,Decision,Decision Center pilot,COO,Phê duyệt roadmap 90 ngày.
2026-10-21,Risk,Dashboard adoption issue,CEO,Dashboard phải gắn với nhịp họp điều hành.
2025-04-16,Meeting Note,Approve Organization Health Assessment,CEO,Dashboard phải gắn với nhịp họp điều hành.
2025-04-01,Decision,KPI Cascade requires middle management buy-in,COO,Rủi ro nghỉ việc ở vị trí trọng yếu cần theo dõi.
2026-04-28,Meeting Note,Process Mining bottleneck,CFO,Cần đào tạo quản lý trung gian trước khi triển khai.
2025-12-03,Meeting Note,KPI Cascade requires middle management buy-in,COO,Cần chuẩn hóa dữ liệu trước khi dùng AI.
2025-01-15,Lesson Learned,Leadership pipeline review,CFO,Rủi ro nghỉ việc ở vị trí trọng yếu cần theo dõi.
2026-05-09,Decision,Launch Green Culture Program,CFO,Rủi ro nghỉ việc ở vị trí trọng yếu cần theo dõi.
2025-04-14,Lesson Learned,Leadership pipeline review,CEO,Rủi ro nghỉ việc ở vị trí trọng yếu cần theo dõi.
2025-03-31,Action,Launch Green Culture Program,CFO,Dashboard phải gắn với nhịp họp điều hành.
2026-06-11,Action,Key person risk in IT,HRD,Dashboard phải gắn với nhịp họp điều hành.
2025-10-18,Action,Decision Center pilot,CEO,Rủi ro nghỉ việc ở vị trí trọng yếu cần theo dõi.
2026-06-23,Action,Approve Organization Health Assessment,HRD,Dashboard phải gắn với nhịp họp điều hành.
2025-02-08,Risk,Decision Center pilot,CEO,Cần chuẩn hóa dữ liệu trước khi dùng AI.
2025-02-26,Decision,Leadership pipeline review,COO,Decision Center cần tập trung vào 5 quyết định có ROI cao nhất.
2026-07-05,Risk,Decision Center pilot,CTO,Rủi ro nghỉ việc ở vị trí trọng yếu cần theo dõi.
2026-01-25,Lesson Learned,Process Mining bottleneck,HRD,Cần đào tạo quản lý trung gian trước khi triển khai.
2026-10-06,Risk,Leadership pipeline review,CFO,Cần chuẩn hóa dữ liệu trước khi dùng AI.
2026-04-11,Action,Launch Green Culture Program,CFO,Phê duyệt roadmap 90 ngày.
2025-07-23,Lesson Learned,Approve Organization Health Assessment,CEO,Cần chuẩn hóa dữ liệu trước khi dùng AI.
2026-07-29,Risk,Decision Center pilot,COO,Cần đào tạo quản lý trung gian trước khi triển khai.
2025-10-21,Action,KPI Cascade requires middle management buy-in,CEO,Cần chuẩn hóa dữ liệu trước khi dùng AI.
2026-07-04,Decision,Dashboard adoption issue,COO,Rủi ro nghỉ việc ở vị trí trọng yếu cần theo dõi.
2025-05-14,Meeting Note,Dashboard adoption issue,CFO,Cần chuẩn hóa dữ liệu trước khi dùng AI.
2025-11-21,Risk,Key person risk in IT,CEO,Cần đào tạo quản lý trung gian trước khi triển khai.
2025-04-05,Meeting Note,Process Mining bottleneck,HRD,Cần chuẩn hóa dữ liệu trước khi dùng AI.
2025-09-02,Lesson Learned,Launch Green Culture Program,CFO,Rủi ro nghỉ việc ở vị trí trọng yếu cần theo dõi.
2025-03-07,Lesson Learned,Approve Organization Health Assessment,COO,Rủi ro nghỉ việc ở vị trí trọng yếu cần theo dõi.
2025-08-25,Risk,Key person risk in IT,HRD,Phê duyệt roadmap 90 ngày.
2025-01-02,Meeting Note,KPI Cascade requires middle management buy-in,HRD,Cần đào tạo quản lý trung gian trước khi triển khai.
