framework,dimension,score,comment
McKinsey 7S,Strategy,85,Synthetic data
McKinsey 7S,Structure,73,Synthetic data
McKinsey 7S,Systems,68,Synthetic data
McKinsey 7S,Shared Values,76,Synthetic data
McKinsey 7S,Skills,76,Synthetic data
McKinsey 7S,Style,68,Synthetic data
McKinsey 7S,Staff,74,Synthetic data
ADKAR,Awareness,85,Synthetic data
ADKAR,Desire,70,Synthetic data
ADKAR,Knowledge,75,Synthetic data
ADKAR,Ability,71,Synthetic data
ADKAR,Reinforcement,62,Synthetic data
Governance,Decision Rights,68,Synthetic data
Governance,RACI Clarity,65,Synthetic data
Digital,AI Readiness,72,Synthetic data
