meeting_id,date,meeting_type,topic,decision,owner,action_item,due_date,status
M001,2026-07-11,Transformation Office,Culture Program,Approve,COO,Follow up on Culture Program,2026-09-13,Open
M002,2026-09-01,CEO Weekly,People Risk,Escalate,CFO,Follow up on People Risk,2026-08-13,Open
M003,2026-08-24,Board Meeting,Budget Review,Escalate,COO,Follow up on Budget Review,2026-07-17,In Progress
M004,2026-09-03,HR Committee,Budget Review,Approve,CFO,Follow up on Budget Review,2026-10-04,Open
M005,2026-10-22,CEO Weekly,Transformation Portfolio,Approve,CTO,Follow up on Transformation Portfolio,2026-08-18,Overdue
M006,2026-07-05,HR Committee,Leadership Pipeline,Approve,COO,Follow up on Leadership Pipeline,2026-08-06,Open
M007,2026-07-27,Transformation Office,Budget Review,Defer,CEO,Follow up on Budget Review,2026-09-03,Done
M008,2026-10-22,Transformation Office,Transformation Portfolio,Escalate,CTO,Follow up on Transformation Portfolio,2026-08-30,Done
M009,2026-10-01,CEO Weekly,Leadership Pipeline,Revise,CEO,Follow up on Leadership Pipeline,2026-08-04,Done
M010,2026-08-11,Transformation Office,Budget Review,Approve,HRD,Follow up on Budget Review,2026-10-18,Done
M011,2026-07-27,CEO Weekly,Leadership Pipeline,Approve,HRD,Follow up on Leadership Pipeline,2026-11-05,In Progress
M012,2026-07-12,CEO Weekly,Budget Review,Escalate,CFO,Follow up on Budget Review,2026-11-02,Overdue
M013,2026-09-02,Transformation Office,Budget Review,Defer,HRD,Follow up on Budget Review,2026-07-16,Done
M014,2026-09-27,Board Meeting,Budget Review,Revise,CFO,Follow up on Budget Review,2026-09-07,In Progress
M015,2026-08-15,CEO Weekly,Transformation Portfolio,Approve,COO,Follow up on Transformation Portfolio,2026-09-25,In Progress
M016,2026-07-18,HR Committee,KPI Review,Revise,COO,Follow up on KPI Review,2026-09-10,Done
M017,2026-10-05,Board Meeting,KPI Review,Defer,HRD,Follow up on KPI Review,2026-08-17,Open
M018,2026-10-28,Board Meeting,KPI Review,Revise,CTO,Follow up on KPI Review,2026-11-04,In Progress
